State/ Union Territory,Registered dismantlers/ recycler of E-Waste
Andaman & Nicobar,0
Andhra Pradesh,0
Arunachal Pradesh,0
Assam,0
Bihar,0
Chandigarh,2
Chhattisgarh,0
Daman & Diu and Dadra & Nagar Haveli,0
Delhi,0
Goa,7
Gujarat,14
Haryana,0
Himachal Pradesh,0
Jharkhand,0
J&K,52
Karnataka,0
Kerala,0
Lakshadweep,2
Madhya Pradesh,24
Maharashtra,0
Manipur,0
Meghalaya,0
Mizoram,0
Nagaland,0
Orissa,0
Pudducherry,0
Punjab,9
Rajasthan,0
Sikkim,16
Tamil Nadu,0
Tripura,3
Uttrakhand,16
Uttar Pradesh,1
West Bengal,148