,State/UT,Number of collection centers
,Arunachal Pradesh,20
,Andaman and Nicobar Islands,32
,Andhra Pradesh,56
,Assam,92
,Bihar,85
,Chandigarh,37
,Chhattisgarh,69
,Daman and Diu,17
,Delhi,150
,Goa,46
,Gujarat,163
,Haryana,112
,Jammu and Kashmir,50
,Jharkhand,68
,Karnataka,164
,Kerala,103
,Madhya Pradesh,95
,Dadra & Nagar Haveli,11
,Maharashtra,384
,Sikkim,22
,Odisha,81
,Puducherry,23
,Punjab,83
,Rajasthan,118
,Tamil Nadu,162
,Tripura,23
,Telangana,97
,Uttar Pradesh,139
,Uttarakhand,59
,West Bengal,145
,Manipur,17
,Mizoram,13
,Nagaland,21
,Himachal Pradesh,31
,Meghalaya,20
,Total,2808